Agreement,Year,Part,Section,Provision Reference,Provision Text,search_part,search_text
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,,,,On this page:,,page
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,,,, Chapter 7:  A More Equal Canada,,equal canada
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,,,, Chapter 8:  Strong Indigenous Communities ,,strong indigenous community
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,,,, Chapter 9:  Protecting Our Shared Values,,protecting shared value
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,,,COVID-19 highlighted and exacerbated the inequities within our society.,equal canada,covid highlighted exacerbated inequity within society
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,,,"Systemic racism and discrimination are a painful reality for too many people, especially for marginalized
			groups, including Indigenous, Black, and racialized people, those living with disabilities, and members of
			the LGBTQ2 communities.",equal canada,systemic racism discrimination painful reality many people especially marginalized group including indigenous black racialized people living disability member lgbtq community
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,,,"Those who live with disabilities still face many barriers to health care, jobs, and services. And many
			Canadians require additional support for challenging health issues beyond COVID-19—from substance use, to
			fair access to sexual and reproductive health, to navigating the complexities of end-of-life care.",equal canada,live disability still face many barrier health care job service many canadian require additional support challenging health issue beyond covid—from substance use fair access sexual reproductive health navigating complexity endoflife care
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,,,"When we recover from the COVID-19 pandemic, we must continue bridging the gaps that hold Canada back from
			reaching its potential. We are at our best when we come together to help one another, as we saw Canadians do
			countless times during the pandemic.",equal canada,recover covid pandemic must continue bridging gap hold canada back reaching potential best come together help one another saw canadian countless time pandemic
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,,,"Budget 2021 outlines the government’s plan to build a healthier, more inclusive, and more equal Canada.
		",equal canada,budget outline government ’ plan build healthier inclusive equal canada
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,7.1 Fighting Systemic Racism and Empowering Communities,,"Systemic racism can have devastating consequences for the well-being of Canadians. Violence, harassment,
			discrimination, exclusion from opportunities, and myriad expressions of unconscious bias deny Canadians
			their freedoms and fair treatment. A more equitable and inclusive society demands all Canadians come
			together to address racism in all its forms and make permanent and transformative changes.",equal canada fighting systemic racism empowering community,systemic racism devastating consequence wellbeing canadian violence harassment discrimination exclusion opportunity myriad expression unconscious bias deny canadian freedom fair treatment equitable inclusive society demand canadian come together address racism form make permanent transformative change
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,7.1 Fighting Systemic Racism and Empowering Communities,,"In the 2020 Fall Economic Statement, the federal government announced a series of policies and
			programs to fight against systemic racism and empower racialized communities. These were early steps.",equal canada fighting systemic racism empowering community,fall economic statement federal government announced series policy program fight systemic racism empower racialized community early step
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,7.1 Fighting Systemic Racism and Empowering Communities,,"Budget 2021 takes the next steps towards long-term, foundational change. Canada can and will do more to
			support racialized communities, improve understanding of racial inequities and barriers, build a more
			diverse and inclusive federal public service, and work with partners to build a more equal and just future.
		",equal canada fighting systemic racism empowering community,budget take next step towards longterm foundational change canada support racialized community improve understanding racial inequity barrier build diverse inclusive federal public service work partner build equal future
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,"Strengthening the Canadian Race Relations Foundation and Helping Communities Respond to an Increase
			in Racism ",,"The COVID-19 pandemic has had an unequal impact on Canadians, with the increase in reports of harassment and
			attacks against Asian Canadians being an especially disturbing trend.",equal canada strengthening canadian race relation foundation helping community respond increase racism,covid pandemic unequal impact canadian increase report harassment attack asian canadian especially disturbing trend
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,"Strengthening the Canadian Race Relations Foundation and Helping Communities Respond to an Increase
			in Racism ",,"The work to address systemic racism is ongoing and must be done alongside engaged and knowledgeable partners.
			Their invaluable on-the-ground knowledge, experiences, learned best practices, and networks are crucial in
			the work to create foundational change. And their efforts can effectively bring Canadians together in the
			common purpose of building a fairer, safer, and more equal Canada where all are free from discrimination.
		",equal canada strengthening canadian race relation foundation helping community respond increase racism,work address systemic racism ongoing must done alongside engaged knowledgeable partner invaluable ontheground knowledge experience learned best practice network crucial work create foundational change effort effectively bring canadian together common purpose building fairer safer equal canada free discrimination
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,"Strengthening the Canadian Race Relations Foundation and Helping Communities Respond to an Increase
			in Racism ",,"The Canadian Race Relations Foundation is a Crown corporation created in 1996, as part of the Japanese
			Canadian Redress Agreement. The foundation has a quarter century of history working to eliminate racism,
			reaffirm the principles of justice and equality for all in Canada, and uphold the principles of the
			Canadian Charter of Rights and Freedoms. Over the past year, the foundation has focused on
			supporting specific racialized communities impacted by dramatically rising cases of racism. In Vancouver,
			for example, there has been a 700 per cent increase in reported cases of anti-Asian racism since the
			pandemic began. ",equal canada strengthening canadian race relation foundation helping community respond increase racism,canadian race relation foundation crown corporation created japanese canadian redress agreement foundation quarter century history working eliminate racism reaffirm principle justice equality canada uphold principle canadian charter right freedom past year foundation focused supporting specific racialized community impacted dramatically rising case racism vancouver example per cent increase reported case antiasian racism since pandemic began
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,"Strengthening the Canadian Race Relations Foundation and Helping Communities Respond to an Increase
			in Racism ",,"

Budget 2021 proposes to provide $11 million over two years, starting in
					2021-22, to expand the impact of the Canadian Race Relations Foundation. This investment would allow
					the Canadian Race Relations Foundation to scale up efforts to empower racialized Canadians and help
					community groups combat racism in all its forms. This investment will also enable the foundation to
					facilitate initiatives like the establishment of a national coalition to support Asian Canadian
					communities, and create a fund to support all racialized communities directly impacted by increasing
					acts of racism during the pandemic.
					


Gender-Based Analysis+



",equal canada strengthening canadian race relation foundation helping community respond increase racism,budget proposes provide million two year starting expand impact canadian race relation foundation investment would allow canadian race relation foundation scale effort empower racialized canadian help community group combat racism form investment also enable foundation facilitate initiative like establishment national coalition support asian canadian community create fund support racialized community directly impacted increasing act racism pandemic genderbased analysis
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,"Strengthening the Canadian Race Relations Foundation and Helping Communities Respond to an Increase
			in Racism ",,"All Canadians should feel safe and be free of discrimination. Sadly, certain people are at risk of racially
			motivated violence, threatening their personal safety and the security of their communities. ",equal canada strengthening canadian race relation foundation helping community respond increase racism,canadian feel safe free discrimination sadly certain people risk racially motivated violence threatening personal safety security community
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,"Strengthening the Canadian Race Relations Foundation and Helping Communities Respond to an Increase
			in Racism ",,"

Budget 2021 proposes to provide $2 million in 2021-22 to Public Safety Canada
					to enhance its Communities at Risk: Security Infrastructure Program. This program helps protect
					communities at risk of hate-motivated crimes, by providing not-for-profit organizations such as
					places of worship, schools, and community cultural centres with funding to enhance their security
					infrastructure.



					


Gender-Based Analysis+



",equal canada strengthening canadian race relation foundation helping community respond increase racism,budget proposes provide million public safety canada enhance community risk security infrastructure program program help protect community risk hatemotivated crime providing notforprofit organization place worship school community cultural centre funding enhance security infrastructure genderbased analysis
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,Supporting Black Canadian Communities ,,"Events over the last year have shone a light on the complex and unique lived realities of Black Canadians.
			Data show that Canada's Black population remains one of the most disadvantaged, with a higher prevalence of
			low-income households, lower employment rates compared to the Canadian average, as well as a much higher
			likelihood of discriminatory treatment at work.",equal canada supporting black canadian community,event last year shone light complex unique lived reality black canadian data show canada black population remains one disadvantaged higher prevalence lowincome household lower employment rate compared canadian average well much higher likelihood discriminatory treatment work
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,Supporting Black Canadian Communities ,,"COVID-19 has only exacerbated these inequities linked to anti-Black racism, and many Black Canadian
			communities, and the organizations that support them, are increasingly vulnerable to economic hardship. ",equal canada supporting black canadian community,covid exacerbated inequity linked antiblack racism many black canadian community organization support increasingly vulnerable economic hardship
"Archived - Part 3: A
			Resilient and Inclusive Recovery",2021,Chapter 7: A More Equal Canada,Supporting Black Canadian Communities ,,"To continue to support the work of community organizations that empower, advocate for, and lift up Black
			Canadians: ",equal canada supporting black canadian community,continue support work community organization empower advocate lift black canadian
